"Chosen. The village dies. All of our futures die, too.",Elegida. La aldea muere. Y nuestro futuro también lo hace.
"Chosen, the spirits of our ancestors guide me to world of dreams","Elegida, los espíritus de nuestros ancestros me guían al mundo de los sueños"
"Chosen, our crops fail, our reserves are meager.","Elegida, nuestras cosechas caen, nuestras reservas decrecen."
Chosen. The village weakens. It is harder to touch your dreams.,Elegida. La aldea se debilita. Es más difícil tocar tus sueños.
Chosen? Chosen? Do you hear me?,¿Elegida? ¿Elegida? ¿Puedes oírme?
"Come in, Chosen One. There are things you must know.","Acércate, Elegida. Hay cosas que debes saber."
This will be your quest if you prove yourself worthy.,Esta será tu misión si te muestras digna de ella.
"Our life is in your hands, Chosen One.","Nuestra vida está en tus manos, Elegida."
"Two generations of the same bloodline were re-united, and their savior, the Chosen One, became Elder, presiding over the village in the years to come.","Dos generaciones del mismo linaje quedan reunidas, y su salvadora, la Elegida, se convierte en Anciana, dirigiendo el poblado en los años que siguen."
"Rest in peace, Chosen One.","Descansa en paz, Elegida."
You're dead.,Estás muerta.
You're dead as a doornail.,Estás tiesa del todo.
"Boy, are you stupid.","Chica, estás tonta."
And dead.,Y muerta.
"You're dead, moron!","¡Estás muerta, idiota!"
"In the years following the destruction of the Enclave, a new family arose in New Reno, following the example of a simple tribal that had once visited their city.","En los años siguientes a la destrucción del Enclave, una nueva Familia surge en Nuevo Reno, siguiendo el ejemplo de una simple tribal que una vez había visitado la ciudad."
Many felt that the founder had been taken by the fortune spirits and now dwelled in a golden casino paradise in the sky.,"Muchos creyeron que la fundadora había sido llevada por los espíritus de la fortuna, y ahora reside en un paradisiaco casino dorado en el cielo."
"Several years after the Chosen one sold the Excavator Chip to Dangerous Dan McGrew, Dan used the superior production of his Morningstar Mine to buy the Kokoweef mine and then to reopen the Great Wanamingo Mine.","Varios años después de que la Elegida vendiera el chip de excavación a Dañino Dan McGrew, Dan usa la superior producción de su mina Morningstar para adquirir la mina Kokoweef y a continuación reabrir la gran mina Wanamingo."
"Chosen, the spirits [of our] ancestors guide [me] to world of dreams that [I may] touch [thoughts.]","Elegida, los espíritus [de nuestros] ancestros guían [mi espíritu] al mundo de los sueños donde [debo] alcanzar tus [pensamientos.]"
"Once again my spirit [touches you] from the void, Chosen.","De nuevo mi espíritu [te alcanza] desde el vacío, Elegida."
Chosen. The village [weakens.],Elegida. La aldea [se debilita.]
Chosen?,¿Elegida?
"May the wind be at your back, Chosen One.","Que los vientos te sean favorables, Elegida."
"You know all I can teach you, Chosen One. Good luck to you on your quest.","Te he enseñado todo lo que sé, Elegida. Buena suerte en tu búsqueda."
"Ha! Chosen One, you aren't graceful enough for me to teach you anything.","¡Ja! Elegida, no eres lo suficientemente hábil como para que pueda enseñarte nada."
"You are not quick enough in combat for my training to help you, Chosen One.","No eres lo suficientemente ágil en combate como para que mi entrenamiento te sirva de algo, Elegida."
"You need to learn more about combat before I can help you, little brother.","Necesitas aprender más cosas sobre combatir antes de que pueda ayudarte, hermanita."
"You have learned well, Chosen One. May the wind be at your back.","Has aprendido bien, Elegida. Que los vientos te sean favorables."
"I have taught you all I can, Chosen One. Good luck on your quest.","Te he enseñado todo lo que sé, Elegida. Buena suerte en tu búsqueda."
"Chosen One, the way you use a spear, you'll be meat for the geckos
 in no time. I can show you a few tricks.","Elegida, tu manera de usar la lanza acabará convirtiéndote en comida para geckos muy pronto. Puedo enseñarte unos cuantos trucos."
Sure.,Bien.
"You're a swift student -- it looks like you've learned all I can
 teach you.",Eres una alumna aplicada. Parece que ya has aprendido todo lo que podía enseñarte.
"Two people working together can move the obelisk that blocks the path. Alone, you would fail. I have no intention of helping you until you pass the trial of the Elder.","Dos personas trabajando juntas pueden mover el obelisco que bloquea el camino. Sola, no serías capaz. No tengo intención de ayudarte a menos que pases la prueba de la Anciana."
"Greetings, Chosen One! It is good to see you. How may I serve you?","¡Saludos, Elegida! Me alegro de verte. ¿Qué puedo hacer por ti?"
"May the spirits of our ancestors protect you, Chosen One. I wish you well on your journey.","Que los espíritus de nuestros ancestros te protejan, Elegida. Te deseo lo mejor en tu viaje."
"Mynoc said what? Out with it, child!","¿Qué dijo Mynoc? ¡Suéltalo, chiquilla!"
"Again you waste my time, worthless nephew! How did you ever become
 the Chosen One?","Otra vez me haces perder el tiempo, ¡sobrina inútil! ¿Cómo es posible que te escogieran a ti como la Elegida?"
"What do you think you are doing, child? This is no way for the Chosen One to act. Now get out of my sight!","¿Qué crees que estás haciendo, chiquilla? Esa no es manera de actuar para una Elegida. ¡Ahora desaparece de mi vista!"
"If this flint is so important that you are willing to disgrace the name of the Chosen One, then here. Take
 the flint and get out of my sight.","Si este pedernal es tan importante que estás dispuesto a deshonrar el nombre de la Elegida, tenlo. Toma el pedernal y desaparece de mi vista."
"Well... Oh, very well. Here is the flint. I wish you a safe journey, child. ","Bien... Oh, bien. Aquí está el pedernal. Te deseo un buen viaje, hija."
"So, child. Once again you stand before me. Are you empty-handed yet again?","Bien, chiquilla. De nuevo estás ante mí. ¿Otra vez con las manos vacías?"
"Hello, Chosen One. Off to find the GECK?","Hola, Elegida. ¿Te marchas a buscar el GECK?"
"I am the Chosen One -- I ""must"" do only as I
 please. Goodbye.","Soy la Elegida. ""Debo"" hacerlo sólo cuando me plazca. Adiós."
"No? Chosen One, three old ones have died since you left. You must
 not waste any more time.","¿No? Elegida, tres ancianos han muerto desde que te fuiste. No debes perder más tiempo."
"What news of the GECK, Chosen One?","¿Qué nuevas hay del GECK, Elegida?"
"Well, look, it's the Chosen One.","Anda, mira, si es la Elegida."
Wretch! You have failed the village!,¡Desgraciada! ¡Le has fallado al poblado!
You are a traitor to your own people.,Eres una traidora a tu propio pueblo.
The Elder was wrong. You are evil.,La Anciana se equivocó. Eres malvada.
"The Chosen One without a spear? Well, you'll have to take one of
 mine. Now, let's get to work...","¿La Elegida sin una lanza? Está bien, te daré una de las mías. Ahora, vamos a trabajar..."
"Welcome home, Chosen One! Did you find the vault? Have you returned with the GECK?","¡Bienvenido a casa, Elegida! ¿Has encontrado el Refugio? ¿Has traído el GECK?"
"Things are not going well, Chosen One. The drought is getting worse and our crops are
 sure to fail. We are trying to salvage what we can to build up our food reserves.","Las cosas no marchan bien, Elegida. La sequía está empeorando y vamos a perder nuestras cosechas. Estamos tratando de salvar lo que podemos para nuestras reservas de comida."
"It is good to see you, Chosen One. How fares your quest?","Qué bueno verte, Elegida. ¿Cómo marcha tu búsqueda?"
"Chosen One! Please tell me that you have completed your quest. Our village is dying, and so
 are our people. ","¡Elegida! Por favor, dime que ya has completado tu búsqueda. Nuestro poblado está muriendo, así como nuestra gente."
"I am sorry, Chosen One, but I am beginning to question my faith in you. The very lives of
 our people are in your hands. Please find the holy Thirteen and return to us with the GECK!","Lo siento, Elegida. Estoy empezando a perder la fe en ti. Las vidas de todos nosotros están en tus manos. Por favor, ¡encuentra el Sagrado Trece y vuelve con el GECK!"
"Once again you return to us, Chosen One. Not empty-handed, I hope?","Vuelves otra vez con nosotros, Elegida. Espero que sin las manos vacías."
You are the Chosen One.,Tú eres la Elegida.
I miss Smoke. Why couldn't you save him? You're the Chosen One.,Hecho de menos a Smoke. ¿Por qué no pudiste salvarle? Eres la Elegida.
"Hello cousin... uh, I mean Chosen One. I hope you've found the GECK. I've heard a lot of
 talk about hard times to come.","Hola prima... eh, quiero decir... Elegida. Espero que hayas encontrado el GECK. He oído hablar un montón de los malos tiempos que se avecinan."
"Welcome home, cousin. Things are getting a little tight around here. Have you found the holy
 Thirteen and the GECK?","Bienvenido a casa, prima. Las cosas se están poniendo tensas por aquí. ¿Has encontrado el sagrado Trece y el GECK?"
"Hello again, cousin. I guess you've noticed that things are really falling apart here. Please
 find the GECK. We are in desperate need!","Hola de nuevo, prima. Seguro que te habrás dado cuenta de que aquí todo se está viniendo abajo. Por favor, encuentra el GECK. ¡Estamos desesperados!"
"Hi, cousin.","Hola, prima."
You not sound like usual self.,No pareces tú misma.
You don't sound like your usual self.,No pareces la misma de siempre.
". I have the honor of being your final challenge. To continue in your quest you must defeat
 me in unarmed combat. Shall we begin?",. Tengo el honor de ser tu último desafío. Para terminar con la prueba debes derrotarme en un combate sin armas. ¿Estás preparada?
"No, my friend, you need only defeat me. When the time comes, we will end the battle.","No, amiga mía, sólo tienes que derrotarme. Cuando lo hagas, terminará el combate."
Me ready.,Yo lista.
I'm ready.,Estoy preparada.
Very well. Return and tell me when you are ready for your challenge.,Muy bien. Avísame cuando estés preparada para luchar.
"Are you ready for your challenge, ","¿Estás preparada para tu desafío, "
Me ready. ,"Preparada, sí."
Me not ready yet.,No preparada.
"It is good to see you again, Chosen One. How may I help you?","Es un placer verte de nuevo, Elegida. ¿Cómo puedo ayudarte?"
